 time_between_2_SV	 jitter
197	53.000000
609	359.000000
189	61.000000
110	140.000000
109	141.000000
128	122.000000
65	185.000000
151	99.000000
90	160.000000
164	86.000000
162	88.000000
53	197.000000
269	19.000000
191	59.000000
202	48.000000
55	195.000000
687	437.000000
223	27.000000
125	125.000000
46	204.000000
621	371.000000
864	614.000000
292	42.000000
224	26.000000
128	122.000000
485	235.000000
486	236.000000
556	306.000000
924	674.000000
944	694.000000
741	491.000000
78	172.000000
131	119.000000
192	58.000000
302	52.000000
199	51.000000
205	45.000000
124	126.000000
79	171.000000
934	684.000000
746	496.000000
107	143.000000
1045	795.000000
971	721.000000
47	203.000000
898	648.000000
966	716.000000
55	195.000000
41	209.000000
557	307.000000
1787	1537.000000
503	253.000000
1021	771.000000
97	153.000000
527	277.000000
342	92.000000
949	699.000000
1011	761.000000
559	309.000000
47	203.000000
67	183.000000
313	63.000000
544	294.000000
369	119.000000
985	735.000000
1010	760.000000
452	202.000000
500	250.000000
47	203.000000
29	221.000000
885	635.000000
124	126.000000
46	204.000000
844	594.000000
433	183.000000
153	97.000000
151	99.000000
47	203.000000
157	93.000000
132	118.000000
141	109.000000
585	335.000000
175	75.000000
949	699.000000
1002	752.000000
42	208.000000
114	136.000000
388	138.000000
417	167.000000
979	729.000000
40	210.000000
20	230.000000
46	204.000000
31	219.000000
601	351.000000
188	62.000000
1057	807.000000
962	712.000000
950	700.000000
966	716.000000
42	208.000000
19	231.000000
939	689.000000
464	214.000000
461	211.000000
1001	751.000000
56	194.000000
18	232.000000
35	215.000000
592	342.000000
36	214.000000
260	10.000000
554	304.000000
53	197.000000
64	186.000000
305	55.000000
976	726.000000
979	729.000000
931	681.000000
29	221.000000
21	229.000000
21	229.000000
31	219.000000
34	216.000000
267	17.000000
602	352.000000
948	698.000000
1054	804.000000
932	682.000000
1003	753.000000
65	185.000000
19	231.000000
21	229.000000
832	582.000000
1079	829.000000
99	151.000000
56	194.000000
31	219.000000
74	176.000000
64	186.000000
60	190.000000
42	208.000000
579	329.000000
67	183.000000
52	198.000000
768	518.000000
335	85.000000
623	373.000000
974	724.000000
372	122.000000
161	89.000000
497	247.000000
459	209.000000
98	152.000000
154	96.000000
169	81.000000
576	326.000000
62	188.000000
128	122.000000
32	218.000000
191	59.000000
251	1.000000
759	509.000000
454	204.000000
500	250.000000
1038	788.000000
909	659.000000
830	580.000000
120	130.000000
468	218.000000
414	164.000000
27	223.000000
93	157.000000
933	683.000000
1048	798.000000
360	110.000000
601	351.000000
1020	770.000000
29	221.000000
26	224.000000
38	212.000000
828	578.000000
955	705.000000
